Prompt,Gst launch pipeline
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to RGB format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGB,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video file, convert it to BGR format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to UYVP format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=UYVP,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert I420 video format to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=I420, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert NV12 video format to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=NV12, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert P010_10LE to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=P010_10LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode an H265 video, convert it to I420_12LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=$IN_FILESRC_Y444_12LE ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert BGRx to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGRx, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert RGBA to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGBA, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert a GRAY8 video to I420_12LE format and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GRAY8, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert GBR to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GBR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert RGB to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGB, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert BGR to I420_12LE and display the output using nveglglessink.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert UYVP to I420_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=UYVP, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a Gstreamer pipeline to convert BGR10A2_LE to I420 and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420,width=1280,height=720' ! nv3dsink"
Provide a Gstreamer pipeline to convert BGR10A2_LE to NV12 and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=NV12,width=1280,height=720' ! nv3dsink"
"Provide a Gstreamer pipeline to convert BGR10A2_LE to BGR10A2_LE, resize it, and display the output on Jetson.","gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a Gstreamer pipeline to convert BGR10A2_LE to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a Gstreamer pipeline to convert BGR10A2_LE to BGRx and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGRx,width=1280,height=720' ! nv3dsink"
Provide a gstreamer pipeline to convert BGR10A2_LE to RGBA and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGBA,width=1280,height=720' ! nv3dsink"
Provide a Gstreamer pipeline to convert BGR10A2_LE to GRAY8 and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GRAY8,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert I420 to BGR10A2_LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=I420, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert NV12 to BGR10A2_LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=NV12, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to BGR10A2_LE format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert BGRx to BGR10A2_LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGRx, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert RGBA to BGR10A2_LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGBA, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert a GRAY8 video to BGR10A2_LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GRAY8, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR10A2_LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a Gstreamer pipeline to convert BGR10A2_LE to P010_10LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR10A2_LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=P010_10LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to I420 format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420,width=1280,height=720' ! nv3dsink"
"Provide a gstreamer pipeline to decode a 12-bit H265 video, convert it to NV12 format and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=NV12,width=1280,height=720' ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to P010_10LE format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=P010_10LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to I420_12LE format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to BGRx format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw,format=BGRx,width=1280,height=720' ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to RGBA format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGBA,width=1280,height=720' ! nv3dsink"
"Provide a gstreamer pipeline to decode a H265 video, convert it to grayscale, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GRAY8,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a GStreamer pipeline to convert I420 format to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=I420, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert NV12 to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=NV12, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert P010_10LE to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=P010_10LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert BGRx to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGRx, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert RGBA to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGBA, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a Gstreamer pipeline to convert a GRAY8 video to I420_12LE format and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GRAY8, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to YUY2 format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw,format=YUY2,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to UYVY format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw,format=UYVY,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to YVYU format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw,format=YVYU,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to Y42B format, and display the output on Jetson.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_p016le_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw,format=Y42B,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert YUY2 to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=YUY2, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert UYVY to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=UYVY, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert YVYU to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=YVYU, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to convert Y42B to I420_12LE and display the output on Jetson.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=Y42B, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nv3dsink"
Provide a gstreamer pipeline to decode a H265 video file and display the output.,"gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to NV12 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=NV12,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to P010_10LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=P010_10LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to I420_12LE format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=I420_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to BGRx format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGRx,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to RGBA format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGBA,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to Y444 format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 12-bit YUV444p H265 video, convert it to RGBA format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video file, convert it to grayscale, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GRAY8,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 10-bit H265 video, convert it to GBR format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=GBR,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to RGB format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=RGB,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a H265 video, convert it to BGR format and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=BGR,width=1280,height=720' ! nveglglessink"
"Provide a gstreamer pipeline to decode a 1080p H265 video, convert it to UYVP format, and display the output.","gst-launch-1.0 filesrc num-buffers=1000 location=sample_1080p_12bit_yuv444p_h265.mp4 ! qtdemux ! h265parse ! nvv4l2decoder ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=UYVP,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert I420 to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=I420, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert NV12 to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=NV12, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert P010_10LE to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=P010_10LE, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert BGRx to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGRx, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert RGBA to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGBA, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Generate a GStreamer pipeline to convert Y444 to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=Y444, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert a GRAY8 video to Y444_12LE format and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GRAY8, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert GBR to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=GBR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert RGB to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=RGB, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a GStreamer pipeline to convert BGR to Y444_12LE, then display the output.","gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=BGR, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
Provide a GStreamer pipeline to convert UYVP to Y444_12LE and display the output.,"gst-launch-1.0 videotestsrc num-buffers=1000 ! video/x-raw, format=UYVP, width=1920,height=1080 ! nvvideoconvert ! 'video/x-raw(memory:NVMM),format=Y444_12LE,width=1280,height=720' ! nvvideoconvert ! nveglglessink"
"Provide a gstreamer pipeline to process a video using preprocessor and inference plugins, and then encode and store the output in an mp4 file.",gst-launch-1.0 filesrc location=/opt/nvidia/deepstream/deepstream/samples/streams/sample_1080p_h264.mp4 ! qtdemux ! h264parse ! nvv4l2decoder ! m.sink_0 nvstreammux name=m batch-size=1 width=1920 height=1080 ! nvvideoconvert ! nvdspreprocess config-file=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_preprocess.txt ! nvinfer config-file-path=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_infer.txt batch-size=5 unique-id=1 input-tensor-meta=1 ! nvmultistreamtiler width=1920 height=1080 ! nvvideoconvert ! nvv4l2h264enc ! h264parse ! qtmux ! filesink location=out.mp4
Provide a gstreamer pipeline to perform preprocessing and inference on a stream from a given RTSP source and display the output.,gst-launch-1.0 uridecodebin uri=rtsp://<rtsp-server>:<port>/stream ! m.sink_0 nvstreammux name=m batch-size=1 width=1920 height=1080 ! nvvideoconvert ! nvdspreprocess config-file=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_preprocess.txt ! nvinfer config-file-path=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_infer.txt batch-size=5 unique-id=1 input-tensor-meta=1 ! nvmultistreamtiler width=1920 height=1080 ! nvvideoconvert ! nvdsosd ! nveglglessink
"Provide a gstreamer pipeline to stream an RTSP source, perform preprocessing and inference, tile the streams, overlay metadata, convert video, encode to H264, and store the output in an MP4 file.",gst-launch-1.0 uridecodebin uri=rtsp://<rtsp-server>:<port>/stream ! m.sink_0 nvstreammux name=m batch-size=1 width=1920 height=1080 ! nvvideoconvert ! nvdspreprocess config-file=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_preprocess.txt ! nvinfer config-file-path=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_infer.txt batch-size=5 unique-id=1 input-tensor-meta=1 ! nvmultistreamtiler width=1920 height=1080 ! nvdsosd ! nvvideoconvert ! nvv4l2h264enc ! h264parse ! qtmux ! filesink location=out.mp4
"Provide a gstreamer pipeline to process multiple RTSP streams, perform object tracking and inference, tile the outputs, encode to H264, and store the result in an MP4 file.",gst-launch-1.0 uridecodebin uri=rtsp://<rtsp-server>:<port>/stream ! m.sink_0 nvstreammux name=m batch-size=4 width=1920 height=1080 ! nvvideoconvert ! nvdspreprocess config-file=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_preprocess.txt ! nvinfer config-file-path=/opt/nvidia/deepstream/deepstream/sources/apps/sample_apps/deepstream-preprocess-test/config_infer.txt batch-size=5 unique-id=1 input-tensor-meta=1 nvtracker ll-lib-file=/opt/nvidia/deepstream/deepstream/lib/libnvds_nvmultiobjecttracker.so ll-config-file=config_tracker_NvDCF_perf.yml ! nvmultistreamtiler width=1920 height=1080 ! nvdsosd ! nvvideoconvert ! nvv4l2h264enc ! h264parse ! qtmux ! filesink location=out.mp4 uridecodebin uri=rtsp://<rtsp-server>:<port>/stream ! m.sink_1 uridecodebin uri=rtsp://<rtsp-server>:<port>/stream ! m.sink_2 uridecodebin uri=rtsp://<rtsp-server>:<port>/stream ! m.sink_3
